Variable,"Model 1
(Task Content)","Model 2
(+ Education)","Model 3
(Full Model)","Model 4
(Robustness)"
Intercept,4.1133***,4.3234***,2.0948+,4.0761***
,(0.9908),(0.9913),(1.2574),(1.0013)
Routine Cognitive Tasks,8.0280***,6.7369***,6.7335***,6.5660***
,(1.3856),(1.3642),(1.3486),(1.3434)
Social/Interpersonal Tasks,-5.7221***,-5.0293***,-4.1987***,-4.1273***
,(1.2152),(1.1953),(1.2343),(1.2262)
Physical/Manual Tasks,-16.9355***,-15.5168***,-15.2768***,-15.3476***
,(0.8884),(0.9062),(0.9046),(0.8968)
Creative/Adaptive Tasks,-3.5303+,-6.9095***,-6.9354**,-7.1189***
,(1.9283),(2.0885),(2.1163),(2.1086)
Required Education Level,-,0.0863***,0.0611***,0.0567***
,,(0.0147),(0.0165),(0.0169)
Log Annual Wage,-,-,0.1858***,-
,,,(0.0541),
Wage Percentile,-,-,-,0.0030***
,,,,(0.0008)
------------------------------,,,,
N,655,655,655,655
R-sq,0.8182,0.8283,0.8308,0.8318
Adj. R-sq,0.8171,0.827,0.8293,0.8303
F-stat,928.536,814.15,711.598,722.66
F p-value,0.0,0.0,0.0,0.0
AIC,766.58,730.87,723.28,719.44
SE type,HC3 Robust,HC3 Robust,HC3 Robust,HC3 Robust
"Note: HC3 robust SEs in parentheses. + p<0.10, * p<0.05, ** p<0.01, *** p<0.001",,,,
