sensitivity_axis,multiplier,newly_exposed_occupations,newly_exposed_workers_M
routine_cognitive,1.0,5,0.4864
routine_cognitive,1.05,7,1.1227
routine_cognitive,1.1,9,1.1919
routine_cognitive,1.15,12,1.8064
routine_cognitive,1.2,21,2.3615
routine_cognitive,1.25,32,3.912
routine_cognitive,1.3,45,12.0106
routine_cognitive,1.35,57,15.8169
routine_cognitive,1.4,71,19.3234
routine_cognitive,1.45,79,21.2202
routine_cognitive,1.5,84,21.6894
routine_cognitive,1.55,101,24.0218
routine_cognitive,1.6,111,26.5542
routine_cognitive,1.65,125,28.3158
routine_cognitive,1.7,138,30.0696
routine_cognitive,1.75,147,33.2416
routine_cognitive,1.8,158,34.1833
routine_cognitive,1.85,165,34.484
routine_cognitive,1.9,175,35.5223
routine_cognitive,1.95,184,36.2173
routine_cognitive,2.0,197,39.132
creative_adaptive,1.0,138,30.0769
creative_adaptive,1.05,125,28.2496
creative_adaptive,1.1,112,26.8497
creative_adaptive,1.15,100,23.5339
creative_adaptive,1.2,85,21.761
creative_adaptive,1.25,79,21.2202
creative_adaptive,1.3,73,19.4427
creative_adaptive,1.35,57,15.4821
creative_adaptive,1.4,46,11.9308
creative_adaptive,1.45,33,3.9882
creative_adaptive,1.5,26,3.0358
creative_adaptive,1.55,16,1.8556
creative_adaptive,1.6,12,1.8064
creative_adaptive,1.65,9,1.1919
creative_adaptive,1.7,6,0.8153
creative_adaptive,1.75,4,0.4784
creative_adaptive,1.8,2,0.0941
creative_adaptive,1.85,1,0.0092
creative_adaptive,1.9,0,0.0
creative_adaptive,1.95,0,0.0
creative_adaptive,2.0,0,0.0
